,ingredient,category,description,rating,rating_num
487,cyanocobalamin,vitamins,,Good,3.0
488,cyclamen aldehyde,fragrance: synthetic and fragrant plant extracts,Synthetic fragrant component in products; it can aggravate skin.,Poor,-1.0
489,cyclohexasiloxane,emollients,One of the numerous forms of synthetic silicone,Good,3.0
490,cyclomethicone,emollients,Silicone with a drier finish than dimethicone.,Good,3.0
491,cyclopentasiloxane,emollients,"Lightweight silicone with a silky, slippery feel that functions as a skin/hair conditioning agent.",Good,3.0
492,cyclotetrasiloxane,emollients,,Good,3.0
493,cymbopogon citrates,plant extracts,,Poor,-1.0
494,cymbopogon martini,"antioxidants, plant extracts",,Poor,-1.0
495,cysteine,skin-replenishing,,Good,3.0
496,cystine,skin-replenishing,,Good,3.0
497,d&c,coloring agents/pigments,"According to the FDA, D&C is an identification that indicates a coloring agent has been approved as...",Good,3.0
498,d&c colors,coloring agents/pigments,General term for a wide group of color additives that are approved for use in drugs and cosmetics...,Good,3.0
499,daisy flower extract,plant extracts,"There is no research showing this extract has any benefit for skin. Also known as tansy, it can...",Poor,-1.0
500,d-alpha-tocopherol,"antioxidants, vitamins",Antioxidant that's considered the most optimal form of vitamin E.,Best,5.0
501,daucus carota,"antioxidants, plant extracts","Also known as wild carrot. It can have antioxidant properties, but applied topically it can cause...",Poor,-1.0
502,dea oleth-10 phosphate,texture enhancer,"Used as an emulsifying agent, which is a group of ingredients essential to most cosmetic...",Good,3.0
503,decarboxy carnosine hcl,"skin-soothing, skin-restoring",,Best,5.0
504,decylene glycol,skin-replenishing,A synthetic glycol that functions as a skin-conditioning agent.,Good,3.0
505,decyl glucoside,cleansing agents,Used as a gentle detergent cleansing agent.,Good,3.0
506,decyl oleate,emollients,A skin-conditioning agent derived from the esters of decyl alcohol and oleic acid.,Good,3.0
507,dehydroacetic acid,preservatives,A synthetic preservative uses in amounts of 0.6% or less. Sometimes its salt form (known as sodium...,Good,3.0
508,dehydroepiandrosterone,uncategorized,,Average,1.0
509,deionized/demineralized water,uncategorized,Filtered water used in cosmetics. All water used in cosmetic formulations goes through this process...,Good,3.0
510,denatured alcohol,sensitizing,Denatured alcohol is a drying type of alcohol that aggravates and weakens skin...,Poor,-1.0
511,deoxyribonucleic acid,uncategorized,,Average,1.0
512,detergent cleansing agent,cleansing agents,,Good,3.0
513,deuterium oxide,uncategorized,,Average,1.0
514,dextran,skin-replenishing,Polysaccharide that has water-binding properties for skin.,Good,3.0
515,dextrin,texture enhancer,Carbohydrate that is classified as a polysaccharide. It is used as an adhesive when mixed with...,Good,3.0
516,dha,uncategorized,,Good,3.0
517,diatomaceous earth,scrub agents,Light-colored porous rock composed of the skeletons of minute sea creatures called diatoms....,Average,1.0
518,diazolidinyl urea,preservatives,Water-soluble preservative.,Poor,-1.0
519,dibutyl phthalate,uncategorized,"Also known as DBP, it is a common ingredient in nail polish and most synthetic fragrances sold...",Poor,-1.0
520,dicaprylyl carbonate,emollients,An emollient ingredient that may be derived from synthetic or animal sources. It spreads easily and...,Good,3.0
521,dicetyl phosphate,cleansing agents,A mix of portions from cetyl alcohol and phosphoric acid that functions as surfactant and emulsifier.,Good,3.0
522,diethylhexyl carbonate,emollients,A synthetic oil-like ester that functions as a skin-conditioning agent and emollient. Also used in...,Good,3.0
523,diethylhexyl malate,emollients,Emollient and skin-conditioning agent derived from the solvent ethyl hexanediol.,Good,3.0
524,diethylhexyl syringylidenemalonate,antioxidants,An ester that functions as an antioxidant and helps defend cosmetics products from chemical or physical deterioration...,Good,3.0
525,diheptyl succinate,texture enhancer,,Best,5.0
526,dihydrocholeth-30,cleansing agents,A synthetic ingredient that functions as an emulsifier...,Good,3.0
527,dihydroxyacetone,uncategorized,"Ingredient present in all self-tanners that affects the color of skin. Derived from sugar, it...",Good,3.0
528,diisopropyl adipate,"texture enhancer, emollients","Used as a film-forming agent, emollient, and skin-conditioning agent.",Good,3.0
529,diisopropyl dimer dilinoleate,emollients,A synthetic ester that functions as a skin-conditioning agent and emollient.,Good,3.0
530,diisostearoyl trimethylolpropane siloxy silicate,"silicones, emollients",Emollient in the silicone family.,Good,3.0
531,diisostearyl dimer dilinoleate,emollients,A synthetic ester that functions as an emollient and skin-conditioning agent. May be animal-derived.,Good,3.0
532,diisostearyl malate,emollients,Diisostearyl malate is an ester that functions as an emollient...,Good,3.0
533,diisostearyl polyglyceryl-3 dimer dilinoleate,"skin-softening, emollients, emulsifiers",Diisostearyl polyglyceryl-3 dimer dilinoleate is an emollient blend of fatty acids often used in cosmetics to enhance coverage.,Good,3.0
534,dimer dilinoleyl dimer dilinoleate,"emollients, texture enhancer",A mixture of fatty acids and a fatty alcohol. This synthetic ingredient...,Good,3.0
535,dimethicone,"silicones, emollients","A type of silicone, dimethicone is one of the most frequently used emollient ingredients in moisturizers due to its gentleness...",Good,3.0
536,dimethicone/peg-10/15 crosspolymer,"silicones, emollients",A mixture of the silicone dimethicone with PEG-10 and PEG-15.,Good,3.0
537,dimethicone/vinyl dimethicone crosspolymer,"texture enhancer, silicones",,Good,3.0
538,dimethicone copolyol,"silicones, emollients",,Good,3.0
539,dimethicone crosspolymer,"texture enhancer, emollients, silicones",Silicone derivative used as a stabilizing or suspending agent or as a thickener.,Good,3.0
540,dimethiconol,"silicones, emollients",,Good,3.0
541,dimethyl capramide,uncategorized,Functions as a stabilizer and solvent in cosmetics.,Good,3.0
542,dimethyl ether,uncategorized,Colorless gas used as a propellant in aerosol products. It is potentially harmful if inhaled…,Poor,-1.0
543,dimethyl isosorbide,uncategorized,A solvent derived from the sugar sorbitol...,Good,3.0
544,dimethyl mea,skin-restoring,,Average,1.0
545,dioscorea villosa extract,plant extracts,,Average,1.0
546,dipentaerythrityl hexacaprylate/hexacaprate,"texture enhancer, emollients",Mixture of fatty acids used as an emollient and thickening agent.,Good,3.0
547,dipeptide-2,skin-restoring,"Dipeptide-2 is a small, less complex synthetic peptide made up of the amino acids tryptophan and valine.",Best,5.0
548,dipotassium glycyrrhizate,"skin-soothing, plant extracts",,Best,5.0
549,dipotassium glycyrrhizinate,"skin-soothing, plant extracts",,Best,5.0
550,dipotassium phosphate,miscellaneous,,Good,3.0
551,di-ppg-3 myristyl ether adipate,texture enhancer,Derivative of myristyl alcohol (a fatty alcohol) and adipic acid (a buffering and neutralizing...,Good,3.0
552,dipropylene glycol,texture enhancer,A synthetic slip agent and texture enhancer.,Good,3.0
553,disodium cocoamphodiacetate,cleansing agents,Mild detergent cleansing agent.,Good,3.0
554,disodium cocoyl glutamate,cleansing agents,A cleansing agent derived from coconut.,Good,3.0
555,disodium diglyceryl phosphate,"texture enhancer, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
556,disodium edta,uncategorized,Short for disodium ethylenediaminetetraacetic acid. Used as a chelating agent...,Good,3.0
557,disodium glyceryl phosphate,"texture enhancer, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
558,disodium lauraminopropionate,cleansing agents,A mild surfactant.,Good,3.0
559,disodium lauriminodipropionate tocopheryl phosphates,uncategorized,A complex mixture of esters formed from a blend of tocopherol phosphates with lauriminodipropionic...,Good,3.0
560,disodium rutinyl disulfate,antioxidants,A water-soluble derivative of the bioflavinoid rutin...,Good,3.0
561,disteardimonium hectorite,uncategorized,"Used as a suspending agent, often with pigments.",Good,3.0
562,dmae,skin-restoring,,Average,1.0
563,dmdm hydantoin,preservatives,Formaldehyde-releasing preservative...,Poor,-1.0
564,docosahexaenoic acid,"texture enhancer, emollients",,Good,3.0
565,dog rose,plant extracts,,Good,3.0
566,dogwood,"skin-soothing, antioxidants, plant extracts",There is a small amount of research showing that dogwood has antioxidant and soothing...,Good,3.0
567,dromiceius oil,emollients,,Good,3.0
568,dulse,"antioxidants, emollients, plant extracts",,Good,3.0
569,dunaliella salina extract,"plant extracts, antioxidants",,Best,5.0
570,durian,"antioxidants, plant extracts",A tropical fruit that contains high levels of antioxidants such as caffeic acid and quercetin,Good,3.0
571,durvillaea antarctica extract,"antioxidants, plant extracts, emollients",Extract derived from a species of algae (Durvillea antarctica).,Good,3.0
572,ecamsule,sunscreen actives,Sunscreen ingredient that provides UVA protection...,Best,5.0
573,echium plantagineum seed oil,emollients,"A novel, non-fragrant plant oil that's a rich source of saturated fatty acids...",Best,5.0
574,eclipta prostrata extract,"antioxidants, plant extracts","An annual plant common to Korea, Eclipta prostrata has potent antioxidant and skin-calming properties.",Best,5.0
575,ectoin,emollients,Ectoin is a synthetic ingredient that serves as an emollient on skin and can also have a buffering effect in cosmetic formulas.,Best,5.0
576,edta,miscellaneous,"Acronym for ethylenediaminetetraacetic acid, a stabilizer used in cosmetics to prevent ingredients...",Good,3.0
577,egg yolk,"emollients, skin-replenishing","Egg yolk is mostly water and lipids (fats), especially cholesterol, which makes it a good emollient...",Best,5.0
578,eicosapentaenoic acid,"skin-replenishing, emollients",Fatty acid derived from salmon oil; it is a good emollient and replenishing ingredient for skin.,Best,5.0
579,elaeis guineensis,"antioxidants, emollients, plant extracts",,Best,5.0
580,elderberry,"antioxidants, plant extracts","Also known as black elderberry or Sambucus nigra, this plant has potent antioxidant properties...",Best,5.0
581,elecampane,"plant extracts, sensitizing",Latin name Inula helenium; it is a plant that can be very sensitizing to the skin...,Poor,-1.0
582,ellagic acid,antioxidants,Potent antioxidant compound found in pomegranate and most berries.,Best,5.0
583,emblica officinalis (gooseberry) fruit extract,"plant extracts, antioxidants","Also known as amla, the fruit extract from gooseberry is among the richest plant sources of antioxidants.",Best,5.0
584,emollient,"thickeners/emulsifiers, emollients","Supple, waxlike, lubricating, thickening agents that prevent water loss and have a softening and...",Good,3.0
585,emulsifier,thickeners/emulsifiers,"When it comes to cosmetics, an emulsifier refers to any ingredient that helps keep unlike...",Good,3.0
586,emu oil,emollients,"The emu (Dromaius novaehollandiae) is a large, flightless bird indigenous to Australia. The oil...",Good,3.0
587,english ivy extract,"plant extracts, sensitizing",Plant extract that can be a skin sensitizer due to its stimulant and astringent (skin-constricting) properties.,Poor,-1.0
588,ensulizole,sunscreen actives,"Ensulizole is a water soluble sunscreen ingredient that works in the UVB range, offering no UVA protection.",Best,5.0
589,enteromorpha compressa extract,"antioxidants, thickeners/emulsifiers, plant extracts",Extract from green algae.,Good,3.0
590,environmental damage,miscellaneous,Occurrence that takes place at an atomic level and is a complex physiological process. Molecules...,Poor,-1.0
591,enzymes,"exfoliant, skin-restoring","Vast group of protein , produced by all living things, that act as catalysts in chemical...",Good,3.0
592,epigallocatechin gallate,"skin-soothing, antioxidants, plant extracts",One of the constituents of green tea believed to be responsible for its many health...,Best,5.0
593,epilobium angustifolium extract,skin-soothing,Extract derived from a plant commonly known as fireweed or willow herb...,Best,5.0
594,epilobium fleischeri (willowherb) extract,"skin-soothing, plant extracts","Epilobium fleischeri, also known as Alpine willowherb, is a plant extract has documented skin-calming and antioxidant benefits",Best,5.0
595,equisetum arvense,"antioxidants, plant extracts, sensitizing",,Poor,-1.0
596,ergocalciferol,"antioxidants, vitamins",Technical name for vitamin D.,Good,3.0
597,ergothioneine,"skin-soothing, antioxidants",A substance derived from animal tissue or various types of mushrooms that has potent antioxidant...,Best,5.0
598,eriobotrya japonica,"antioxidants, plant extracts",,Best,5.0
599,erythrulose,miscellaneous,Substance chemically similar to the self-tanning agent dihydroxyacetone. Depending on your skin...,Good,3.0
600,esculin,sensitizing,"Component of horse chestnut, it is considered harmful and is not recommended for skin...",Poor,-1.0
601,essential oil,"sensitizing, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
602,ester,emollients,A compound formed from the reaction between an alcohol and an acid via the elimination of water....,Good,3.0
603,ester-c,vitamins,"Trade name for a combination form of vitamin C that contains mainly calcium ascorbate, but in...",Best,5.0
604,ethanol,sensitizing,,Poor,-1.0
605,ethoxydiglycol,miscellaneous,,Good,3.0
606,ethyl alcohol,sensitizing,,Poor,-1.0
607,ethyl hexanediol,texture enhancer,"A synthetic, viscous alcohol that functions as a solvent and can also be...",Average,1.0
608,ethylhexylglycerin,"miscellaneous, preservatives",A synthetic skin-conditioning agent used as a preservative or as a carrier or suspending agent for...,Good,3.0
609,ethylhexyl methoxycinnamate,sunscreen actives,,Best,5.0
610,ethylhexyl olivate,"emollients, skin-softening",A natural ester of skin-conditioning fatty acids derived from olive oil. It can have an occlusive effect on skin.,Best,5.0
611,ethylhexyl palmitate,"emollients, texture enhancer",A mixture of a fatty alcohol and palmitic acid that functions as an emollient.,Good,3.0
612,ethylhexyl stearate,"thickeners/emulsifiers, texture enhancer, emollients",,Good,3.0
613,ethyl macadamiate,"plant extracts, thickeners/emulsifiers, emollients",Mixture of fatty acids from macadamia nut oil.,Good,3.0
614,ethylparaben,preservatives,,Poor,-1.0
615,ethyl vanillin,antioxidants,Flavoring agent derived from vanilla. It has antioxidant properties (Source: Journal of...,Good,3.0
616,eucalyptus extract,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts",Extract that may have beneficial properties on the skin...,Poor,-1.0
617,eucalyptus oil,"plant extracts, fragrance: synthetic and fragrant plant extracts, sensitizing",Fragrant plant oil whose active constituents are found in the leaves and the oil obtained from...,Poor,-1.0
618,eugenia aromatica,"plant extracts, sensitizing",,Poor,-1.0
619,eugenia caryophyllus,"plant extracts, sensitizing",,Poor,-1.0
620,eugenol,"fragrance: synthetic and fragrant plant extracts, sensitizing",Fragrance chemical that occurs naturally in some plant ingredients...,Poor,-1.0
621,euphorbia cerifera wax,"plant extracts, emollients, texture enhancer, thickeners/emulsifiers",,Good,3.0
622,euphrasia officinalis,"plant extracts, sensitizing",,Average,1.0
623,euterpe oleracea (acai) sterols,"emollients, skin-soothing, skin-replenishing",Euterpe oleracea (acai) sterols are the sterol portion derived from the acai plant.,Best,5.0
624,euterpe oleracea fruit extract,"antioxidants, plant extracts",,Best,5.0
625,evening primrose oil,"skin-soothing, emollients, plant extracts",Can have significant soothing and emollient benefits for skin.,Best,5.0
626,evodia rutaecarpa extract,"skin-soothing, plant extracts",A species of Asian tree whose fragrant fruit functions as a good soothing agent in...,Good,3.0
627,ext. d&c,coloring agents/pigments,"Type of coloring agent. According to the FDA (www.fda.gov), when Ext. D&C is followed by a color,...",Good,3.0
628,eyebright,"plant extracts, sensitizing","A plant; although the name sounds like it would be beneficial for the eye area, there are no...",Average,1.0
629,faex,antioxidants,A type of yeast.,Good,3.0
630,farnesol,"antioxidants, fragrance: synthetic and fragrant plant extracts, plant extracts",Extract of plants that is used in cosmetics primarily for fragrance. A few animal studies and some...,Average,1.0
631,farnesyl acetate,"antioxidants, plant extracts, fragrance: synthetic and fragrant plant extracts",,Average,1.0
632,fatty acid,"thickeners/emulsifiers, emollients, texture enhancer, skin-replenishing",Substance typically found in plant and animal lipids (fat). Fatty acids include compounds such as...,Best,5.0
633,fatty alcohol,"thickeners/emulsifiers, texture enhancer, emollients",Made from fatty acids; fatty alcohols are used in cosmetics as thickening agents and emollients....,Good,3.0
634,fd&c,coloring agents/pigments,"Type of coloring agent. According to the FDA, when FD&C is followed by a color, the color is...",Good,3.0
635,fd&c colors,coloring agents/pigments,"General term for any color additive deemed to be safe and FDA-approved for use in foods, drugs, and...",Good,3.0
636,fennel oil,"plant extracts, sensitizing","Volatile, fragrant oil that can cause skin sensitivity.",Poor,-1.0
637,fennel seed extract,"antioxidants, plant extracts, sensitizing","Can have antioxidant properties, but on skin it can be a skin sensitizer (Source:...",Poor,-1.0
638,ferric ammonium ferrocyanide,coloring agents/pigments,Inorganic salt of ferric ferrocyanide.,Good,3.0
639,ferric ferrocyanide,coloring agents/pigments,"Also known as Iron Blue, a coloring agent used in cosmetic products, including those designed for...",Good,3.0
640,ferula galbaniflua,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
641,ferulic acid,"antioxidants, plant extracts",A plant-based antioxidant. Research suggests that it provides antioxidant...,Best,5.0
642,feverfew extract,"skin-soothing, sensitizing, plant extracts",A plant that can be very soothing but also potentially sensitizing to the skin...,Good,3.0
643,fibronectin,skin-replenishing,Type of protein found in the skin....,Good,3.0
644,ficus carica (fig) fruit extract,"plant extracts, antioxidants",Fig is a rich source of a class of antioxidants known as phenolic compounds.,Best,5.0
645,fig,"plant extracts, antioxidants",,Best,5.0
646,filipendula glaberrima,"antioxidants, plant extracts","Also known as Nakai, the root of this plant extract has been shown to be an antioxidant…",Best,5.0
647,filipendula rubra,"skin-soothing, plant extracts",,Best,5.0
648,film-forming agent,film-forming/holding agents,"Large group of ingredients that are typically found in hair-care products, but that are also widely...",Good,3.0
649,fireweed extract,"skin-soothing, plant extracts",Extract from the Epilobium angustifolium plant; also known as willow herb.,Best,5.0
650,fir needle oil,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts","Volatile, fragrant oil that can cause skin sensitivity.",Poor,-1.0
651,fish cartilage extract,miscellaneous,"May have water-binding properties, but there is no research showing that this has any benefit for...",Average,1.0
652,flavonoid,antioxidants,,Best,5.0
653,flavor,miscellaneous,"According to the U.S. Food and Drug Administration, the term ""flavor"" on a product label signifies...",Average,1.0
654,flax,"plant extracts, antioxidants",Plant source of linen and edible seeds. Flax seeds and seed oil have antioxidant properties...,Best,5.0
655,flaxseed oil,"antioxidants, plant extracts","From seeds of the flax plant; a source of fatty acids, particularly omega-3.",Best,5.0
656,floralozone,fragrance: synthetic and fragrant plant extracts,One of a number of synthetic fragrant components.,Poor,-1.0
657,foeniculum vulgare extract,"antioxidants, sensitizing, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
658,folic acid,"antioxidants, vitamins","Part of the B-vitamin complex; when taken orally, it is a good antioxidant. That benefit has not...",Good,3.0
659,formaldehyde-releasing preservative,preservatives,Common type of preservative found in cosmetics...,Average,1.0
660,fragaria vesca (strawberry) fruit extract,"antioxidants, plant extracts",Strawberry’s red color comes from its high amount of antioxidant compounds known as anthocyanins.,Best,5.0
661,fragrance,"fragrance: synthetic and fragrant plant extracts, sensitizing",One or a blend of volatile and/or fragrant plant oils (or synthetically derived oils) that impart...,Poor,-1.0
662,frankincense extract,"fragrance: synthetic and fragrant plant extracts, sensitizing",Fragrant component used in skincare products; it can be a skin sensitizer...,Poor,-1.0
663,fructose,skin-replenishing,"Often called fruit sugar, fructose is a type of sugar composed of glucose. It has water-binding...",Good,3.0
664,fruit acid,"miscellaneous, plant extracts",,Average,1.0
665,fucus vesiculosus extract,"antioxidants, plant extracts, skin-soothing, hydration","Fucus vesiculosus extract, also known as bladderwrack, is a type of brown algae (seaweed) that is edible.",Best,5.0
666,fu ling,"skin-soothing, antioxidants, plant extracts",,Best,5.0
667,fuller's earth,"thickeners/emulsifiers, absorbent","Mineral substance that is similar to kaolin (a clay). Composed mainly of alumina, silica, iron...",Good,3.0
668,galactoarabinan,"antioxidants, hydration, plant extracts",Polysaccharide extracted from the western larch tree.,Good,3.0
669,galbanum,"fragrance: synthetic and fragrant plant extracts, sensitizing","Fragrant substance that, because of its resin and volatile oil content, can be extremely sensitizing…",Poor,-1.0
670,gamma linolenic acid (gla),"antioxidants, emollients, skin-restoring",Fatty acid used in cosmetics as an emollient and antioxidant. GLA is considered to...,Best,5.0
671,ganoderma lucidum (mushroom) extract,"antioxidants, plant extracts","Ganoderma lucidum is a species of mushroom also known as Reishi mushroom that, when applied to skin, can visibly reduce some types of discoloration.",Best,5.0
672,garcinia mangostana (mangosteen) peel extract,"antioxidants, plant extracts",Mangosteen is a fruit with a sweet and sour flavor and is native to several Asian countries.,Best,5.0
673,gardenia florida extract,"antioxidants, sensitizing, plant extracts, fragrance: synthetic and fragrant plant extracts",Flower extract used in cosmetics to impart fragrance; also functions as an antioxidant (Source:...,Poor,-1.0
674,gelatin,thickeners/emulsifiers,Protein obtained from plants or animals and used in cosmetics as a thickening agent.,Good,3.0
675,gellan gum,texture enhancer,"A plant-derived, high-weight, polysaccharide texture enhancer that also...",Good,3.0
676,gellidiela acerosa extract,"antioxidants, emollients, plant extracts",Extract derived from a type of algae.,Good,3.0
677,genistein,"skin-soothing, plant extracts, antioxidants","Plant component (most often from soy) that is a rich source of antioxidants, though it can also be...",Best,5.0
678,gentiana lutea (gentian) root extract,"skin-soothing, antioxidants, plant extracts","Part of the gentian plant, constituents of which are soothing to skin...",Best,5.0
679,geraniol,"sensitizing, fragrance: synthetic and fragrant plant extracts","A volatile fragrance ingredient extracted from geranium, geraniol is capable of causing sensitivity when applied to skin.",Average,1.0
680,geranium extract,"antioxidants, plant extracts","Extract that can have potent antioxidant properties (Source: Phytomedicine, June 2000, pages...",Best,5.0
681,geranium oil,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts",Fragrant oil that can have beneficial properties but also can be a skin sensitizer...,Poor,-1.0
682,geranium pretense,"antioxidants, plant extracts, sensitizing",Geranium plant.,Poor,-1.0
683,germaben ii,preservatives,Trade name for diazolidinyl urea.,Good,3.0
684,ginger extract,"skin-soothing, antioxidants, plant extracts",Extract from a plant in the Zingiberacae family that has research showing it has soothing...,Good,3.0
685,ginger oil,"antioxidants, sensitizing, plant extracts",,Poor,-1.0
686,ginkgo biloba leaf extract,"skin-soothing, antioxidants, plant extracts",Potent antioxidant and soothing ingredient.,Best,5.0
687,ginseng,"antioxidants, plant extracts","Ginseng is a popular herbal supplement. When applied topically it delivers antioxidant benefits, boosts hydration, and helps visibly improve signs of skin aging.",Best,5.0
688,gla,"antioxidants, emollients, skin-restoring",,Best,5.0
689,glabridin,"skin-soothing, plant extracts",Main ingredient in licorice extract. It has soothing properties. There is research showing...,Best,5.0
690,glucomannan,hydration,Glucomannan is prebiotic sugar that combines the simples sugars mannose with glucose.,Best,5.0
691,gluconolactone,exfoliant,,Best,5.0
692,glucosamine hcl,"skin-soothing, skin-replenishing","A form of glucosamine, an amino sugar that can be considered a skin-restorative...",Best,5.0
693,glucose,skin-replenishing,Monosaccharide that has water-binding properties for skin.,Good,3.0
694,glucose oxidase,miscellaneous,Glucose oxidase is an enzyme that catalyzes the oxidation of the sugar glucose.,Good,3.0
695,glucosylceramides,"skin-restoring, skin-replenishing",Glucosylceramides are responsible for the healthy formation and appearance of skin’s upper layers.,Best,5.0
696,glucosyl hesperidin,"antioxidants, plant extracts","A water-soluble form of hesperidin, a flavonoid found in many citrus plants, as well as evening primrose oil. It has potential as an antioxidant...",Best,5.0
697,glutamic acid,hydration,Glutamic acid is an amino acid that helps aid skin hydration.,Good,3.0
698,glutamine,skin-replenishing,Can help improve the function of skin...,Best,5.0
699,glutathione,"antioxidants, skin-restoring","Powerful, non-enzymatic antioxidant which naturally occurs in the skin.",Best,5.0
700,gluten ingredients,miscellaneous,"Gluten is a protein that occurs naturally in many types of grains, including wheat, rye, and barley.",Good,3.0
701,glycereth-26,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
702,glycereth-26 phosphate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
703,glycereth-6 laurate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
704,glycerin,"skin-replenishing, skin-restoring","Also called glycerol or glycerine, glycerin is present in all natural lipids (fats), whether animal or vegetable.",Best,5.0
705,glycerine,skin-replenishing,,Best,5.0
706,glycerol,skin-replenishing,,Best,5.0
707,glycerol monostearate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
708,glycerol triacetate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
709,glycerol trioleate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
710,glyceryl ascorbate,antioxidants,"A vitamin C derivative, it serves as an antioxidant in skincare products.",Best,5.0
711,glyceryl behanate,"thickeners/emulsifiers, emollients, cleansing agents",A simple mixture of glycerin and the naturally-occuring fatty acid behenic acid. Glyceryl behenate...,Good,3.0
712,glyceryl behenate,"emollients, texture enhancer",An ester emollient of fatty acid behenic acid...,Best,5.0
713,glyceryl behenate/eicosadioate,thickeners,"A mixture of esters of glycerin, along with behenic and eicosadioic acids, its works as a thickener and stabilizing agent in makeup and skincare products.",Good,3.0
714,glyceryl cocoate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
715,glyceryl dibehanate,emollients,A complex mixture of glycerin and the naturally-occurring fatty acid behenic acid. Glyceryl...,Good,3.0
716,glyceryl dipalmitate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
717,glyceryl distearate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
718,glyceryl ester,"thickeners/emulsifiers, emollients","Large group of ingredients that are composed of fats and oils. At room temperature, the fats are...",Good,3.0
719,glyceryl isopalmitate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
720,glyceryl isostearate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
721,glyceryl myristate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
722,glyceryl oleate,"thickeners/emulsifiers, emollients, cleansing agents",Used as an emollient and thickening agent in cosmetics.,Good,3.0
723,glyceryl palmitate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
724,glyceryl polymethacrylate,"thickeners/emulsifiers, film-forming/holding agents, texture enhancer",A blend of glycerin and polymethacrylic acid that functions as a film-forming agent. It has a...,Good,3.0
725,glyceryl rosinate,"emulsifiers, emollients, cleansing agents",An ester of long chain acids derived from a plant-based ingredient known as rosin.,Good,3.0
726,glyceryl stearate,"thickeners/emulsifiers, cleansing agents, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
727,glyceryl stearate citrate,"emulsifiers, emollients",Glyceryl stearate citrate is an ester of citric acid and glyceryl stearate.,Good,3.0
728,glyceryl stearate se,"thickeners/emulsifiers, emollients",Widely used ingredient that is a self-emulsifying (that’s what the “SE” stands for) form of...,Good,3.0
729,glycine,skin-replenishing,,Good,3.0
730,glycine soja oil,"plant extracts, emollients, antioxidants",Oil derived from wild soybeans; it has emollient properties.,Best,5.0
731,glycine soja seed extract,"plant extracts, emollients",,Best,5.0
732,glycine soja sterols,"plant extracts, emollients","A sterol is a solid complex alcohol derived from animals and plants. In this case, the sterols are...",Best,5.0
733,glycogen,"skin-replenishing, hydration",Polysaccharide that has water-binding properties for skin.,Good,3.0
734,glycolic acid,exfoliant,"A type of alpha hydroxy acid (AHA) that, like other ingredients in the category, can act as a water-binding agent and, when properly formulated, as an exfoliant...",Best,5.0
735,glycolipid,"thickeners/emulsifiers, emollients, skin-replenishing",Type of lipid composed of sugar (monosaccharide) and fat (lipid) that forms an important component...,Best,5.0
736,glycol stearate,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent.,Good,3.0
737,glycoproteins,"skin-restoring, hydration",Glycoproteins are a type of peptide naturally present in skin's surface that works with other ingredients to reinforce skin's barrier strength.,Best,5.0
738,glycosaminoglycans,"skin-replenishing, skin-restoring",Also known as mucopolysaccharides; these are a fundamental component of skin and are...,Best,5.0
739,glycosphingolipid,skin-replenishing,,Best,5.0
740,glycyrrhetic acid,"skin-soothing, plant extracts",Extract from licorice that has skin-soothing properties…,Best,5.0
741,glycyrrhetinic acid,"antioxidants, skin-soothing",One of the components of licorice root extract...,Best,5.0
742,glycyrrhiza glabra,"skin-soothing, plant extracts",,Best,5.0
743,glycyrrhiza uralensis root extract,"skin-soothing, plant extracts",,Best,5.0
744,goji fruit extract,"antioxidants, plant extracts","This bright, warm red berry, native to Asia, is a very good source of antioxidant compounds.",Best,5.0
745,gold,"sensitizing, miscellaneous",An ingredient that seems luxe and helpful but is actually a frequent contact sensitizer…,Poor,-1.0
